sentence,implied_statement
if you are white in that state watch yourself !,non-white people are dangerous
if you are white in that state watch yourself !,White people are in danger.
so the 500 % increase in h1b visas ? yeah i'm sure that will win over voters .,Immigrants are undesirable
capitalism  like communism  is an enemy of the white race .,Capitalists don't like white people.
capitalism  like communism  is an enemy of the white race .,Communists are threatening the white race.
dems have also invented a vast black / white right wing nationalist uncle tom conspiracy  a 1000 legged centipede monster,Democrats are manipulative liars.
pakistani sex-gang attacks covered up for fear of racism #swrm via,Pakistani people are dangerous.
pakistani sex-gang attacks covered up for fear of racism #swrm via,Pakistanis are rapists
yo  c'mon back you little illegal aliens . we still got lots of us-born suckers we can smash out of line to make room,Immigrants are inferior
yo  c'mon back you little illegal aliens . we still got lots of us-born suckers we can smash out of line to make room,Immigrants are illegally in this country
in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !,White people are better than other races.
in white power by rockwell  chapter called : nightmare  is coming true ! all out black on white war ! prepare now !,Black people are aggressors
soon  white people will not be a majority anywhere . you believe,Minorities want to take over the world.
populist = american . so racist is code for anti-white  populist = american . as opposed to rentier transients .,racism towards whites
good ! man i'd hate to be a native born white in any of those cities .,White people are in trouble.
good ! man i'd hate to be a native born white in any of those cities .,Minorities are overrunning the cities.
it is like calling people a witch . one day white people won't fall for it,White people are too smart to be fooled.
it is like calling people a witch . one day white people won't fall for it,Minorities are dishonest
i like is explicitly pro-white . they are polite about it but they are pro-white . is also a good group .,Minorities are substandard people
i like is explicitly pro-white . they are polite about it but they are pro-white . is also a good group .,White people are friendly.
do you disavow all of these ? btw there's tons for every other race too besides blacks . if you don't disavow all of these you're anti-white,Whites are racists
do you disavow all of these ? btw there's tons for every other race too besides blacks . if you don't disavow all of these you're anti-white,Minorities hold double standards
you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !,Jews hate white people.
you can't be pro white and pro jew  jews will hate you . but you can be pro jew and anti white and jews will adore you !,Jews hate whites
yes you are fine in a white majority country . how is mexico doing these days ? you people come here because you couldn't build it .,White people can do more than Mexicans.
yes you are fine in a white majority country . how is mexico doing these days ? you people come here because you couldn't build it .,Mexicans are incompetent.
white identity is timelesa,non-white people are inferior
do you think those bars on the windows are to keep out all the white people ?,White people are dangerous.
do you think those bars on the windows are to keep out all the white people ?,Minorities are criminals.
selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...,"Blacks, northerners and jews pretend to be superior"
selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...,Jews are devious
no  not them . they're on the stupid side of the spectrum  but they're not vocal white power enthusiasts ( etc ) .,White people are stupid.
: and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is really paying,Black athletes are paid too much.
: and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is really paying,Blacks get a free ride
white people pretending to be blackfify,White people want to be black.
white people pretending to be blackfify,white people have no culture
mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !,Mexicans are morally weak.
mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !,Mexicans are good people.
and because of this  white americans are losing their home and country .,Minorities are pushing out whites
and because of this  white americans are losing their home and country .,White people are losing their homes.
white people don't belong in civil,Whites are heathens
white people don't belong in civil,White people are outsiders.
i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?,Jews are devious
i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?,Jews practice witchcraft
black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .,non-white people are inferior
black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .,Black people can do more than white people.
this is what these people took to america  sancho,immigrants add to America
kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of,Jews are money grubbers
kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of,Jews are greedy.
lol . you will learn what it means to be white and proud of your race . or be jooish and face the consequences .,White people should be proud of their race.
lol . you will learn what it means to be white and proud of your race . or be jooish and face the consequences .,Jews are inferior
as a true pro-white who refers to white people as inbred trash  you need to listen to my advice on how,White people are trash.
as a true pro-white who refers to white people as inbred trash  you need to listen to my advice on how,Whites are substandard
the lgenpresse has never had any problem demonizing white america and celebrating criminals and terrorists and trying to silence us,non-white people are criminals
the lgenpresse has never had any problem demonizing white america and celebrating criminals and terrorists and trying to silence us,Journalists are dishonest liars.
extinction of america's white population speeds up via,Immigrants are invading America
muslims are always wanting to kill someone ! its their duty to kill the infidel .,Muslims are violent
muslims are always wanting to kill someone ! its their duty to kill the infidel .,Muslims are violent.
is zuma talking about seizing white land or not ? are you denying it ?,Blacks steal whites property.
i'm anishinaabeg from deshkan ziibi . goodnight white pride !,White people are superior.
i'm anishinaabeg from deshkan ziibi . goodnight white pride !,Minorities are substandard people
" proliferating anti-white agenda  "" """,Minorities are opposed to whites
. there is dangerous power in using ' scientific ' findings to undermine gay marriage,Gays are abnormal.
i am now a white nationalist,Minorities are subpar human beings
estonia : 1000 white nationalists protest against non-white invasion | more : via,White people don't like non-white people.
estonia : 1000 white nationalists protest against non-white invasion | more : via,Immigrants want absolute control
is currently leading the race for top #cuckservative on twitter,conservative men are not masculine
white people hate divesity but yet still go to non-white countries / continents . #dumblogic #hypocrites,white people are hypocrites
white people hate divesity but yet still go to non-white countries / continents . #dumblogic #hypocrites,White people don't like diversity.
altrighters are already moving there . without legislation to force integration  all white / black areas are inevitable .,Blacks are low quality.
hold on  i got an even better one > 14 words my man . we got to secure the existence of our people and a future for white children > just not with those people . they're fat  low class . we're a better sort of racist than white trash > who are we ? a bunch of boomers ?,non-white people are a threat
hold on  i got an even better one > 14 words my man . we got to secure the existence of our people and a future for white children > just not with those people . they're fat  low class . we're a better sort of racist than white trash > who are we ? a bunch of boomers ?,White people are trash.
the kkk . how old does my little boy need to be to join ?,Minorities are inferior.
the kkk . how old does my little boy need to be to join ?,non-white people are inferior
unarmed white man murdered by police in tx . where was his white privilege ?,Minorities accuse whites falsely
unarmed white man murdered by police in tx . where was his white privilege ?,White people get killed.
you might be right about that  idk . i still think the movement would benefit from more love for our blood and less hate for non-whites .,Minorities are inferior to the white race
horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via,Arabs are evil and hate white people
horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via,Arabs torments White people
: black slavery only matters when it can be blamed on white southerners . or when it can make white sj,Black people are whiners
: black slavery only matters when it can be blamed on white southerners . or when it can make white sj,Blacks are dishonest and devious.
are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion,non-white people are inferior
are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion,white people are good.
1up  are you seriously calling tucker carlsonna white supremacist ? you are way losing all credibility here  my friend . what are you trying to accomplish ? 1 ) spread hate & division among races  or 2 ) make america a better place for all children to grow up in and thrive ?,whites are racists
please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands,White people need to unite.
please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands,People of Color are an intrinsic threat to so-called white patriots.
she's another jew promoting adl / splc . she assisted in having jihad watch,Jews are bad.
